cocktail onion,http://www.cocktaildb.com/ingr_detail?id=1
mescal,http://www.cocktaildb.com/ingr_detail?id=3
Tequila,http://www.cocktaildb.com/ingr_detail?id=4
a̱ejo Tequila,http://www.cocktaildb.com/ingr_detail?id=5
gold Tequila,http://www.cocktaildb.com/ingr_detail?id=6
Tequila reposado,http://www.cocktaildb.com/ingr_detail?id=7
silver Tequila,http://www.cocktaildb.com/ingr_detail?id=8
ale,http://www.cocktaildb.com/ingr_detail?id=9
beer,http://www.cocktaildb.com/ingr_detail?id=10
lager,http://www.cocktaildb.com/ingr_detail?id=11
porter,http://www.cocktaildb.com/ingr_detail?id=12
stout,http://www.cocktaildb.com/ingr_detail?id=13
Abbott's bitters,http://www.cocktaildb.com/ingr_detail?id=14
absinthe,http://www.cocktaildb.com/ingr_detail?id=15
amer,http://www.cocktaildb.com/ingr_detail?id=16
Amer Picon,http://www.cocktaildb.com/ingr_detail?id=17
Amourette,http://www.cocktaildb.com/ingr_detail?id=18
Angostura bitters,http://www.cocktaildb.com/ingr_detail?id=19
Aperital,http://www.cocktaildb.com/ingr_detail?id=20
aperitif bitters,http://www.cocktaildb.com/ingr_detail?id=21
aromatic bitters,http://www.cocktaildb.com/ingr_detail?id=22
bitters,http://www.cocktaildb.com/ingr_detail?id=23
Bogart's bitters,http://www.cocktaildb.com/ingr_detail?id=24
Boker's bitters,http://www.cocktaildb.com/ingr_detail?id=25
Boonekamp bitters,http://www.cocktaildb.com/ingr_detail?id=26
Calisaya bitters,http://www.cocktaildb.com/ingr_detail?id=27
Campari,http://www.cocktaildb.com/ingr_detail?id=28
Caroni bitters,http://www.cocktaildb.com/ingr_detail?id=29
celery bitters,http://www.cocktaildb.com/ingr_detail?id=30
East India bitters,http://www.cocktaildb.com/ingr_detail?id=31
Fernet Branca,http://www.cocktaildb.com/ingr_detail?id=32
Ferro-China bitters,http://www.cocktaildb.com/ingr_detail?id=33
Hostetter's bitters,http://www.cocktaildb.com/ingr_detail?id=34
Khoosh bitters,http://www.cocktaildb.com/ingr_detail?id=35
Manhattan bitters,http://www.cocktaildb.com/ingr_detail?id=36
orange bitters,http://www.cocktaildb.com/ingr_detail?id=37
peach bitters,http://www.cocktaildb.com/ingr_detail?id=38
pepsin bitters,http://www.cocktaildb.com/ingr_detail?id=39
Peruvian bitters,http://www.cocktaildb.com/ingr_detail?id=40
Peychaud bitters,http://www.cocktaildb.com/ingr_detail?id=41
Schroeder Bitters,http://www.cocktaildb.com/ingr_detail?id=42
Secrestat bitters,http://www.cocktaildb.com/ingr_detail?id=43
Stoughton bitters,http://www.cocktaildb.com/ingr_detail?id=44
Underberg bitters,http://www.cocktaildb.com/ingr_detail?id=45
Unicum,http://www.cocktaildb.com/ingr_detail?id=46
Habanero,http://www.cocktaildb.com/ingr_detail?id=47
Navy Grog mix,http://www.cocktaildb.com/ingr_detail?id=48
Pimm's Cup #1,http://www.cocktaildb.com/ingr_detail?id=49
Pimm's Cup #2,http://www.cocktaildb.com/ingr_detail?id=50
Pimm's Cup #3,http://www.cocktaildb.com/ingr_detail?id=51
Pimm's Cup #4,http://www.cocktaildb.com/ingr_detail?id=52
Pimm's Cup #5,http://www.cocktaildb.com/ingr_detail?id=53
Pimm's Cup #6,http://www.cocktaildb.com/ingr_detail?id=54
Tom & Jerry mix,http://www.cocktaildb.com/ingr_detail?id=55
American apple brandy,http://www.cocktaildb.com/ingr_detail?id=56
applejack,http://www.cocktaildb.com/ingr_detail?id=57
Armagnac,http://www.cocktaildb.com/ingr_detail?id=58
Asbach Uralt,http://www.cocktaildb.com/ingr_detail?id=59
brandy,http://www.cocktaildb.com/ingr_detail?id=60
Calvados,http://www.cocktaildb.com/ingr_detail?id=61
Cape of Good Hope Brandy,http://www.cocktaildb.com/ingr_detail?id=62
Cognac,http://www.cocktaildb.com/ingr_detail?id=63
Courvoisier,http://www.cocktaildb.com/ingr_detail?id=64
Metaxa,http://www.cocktaildb.com/ingr_detail?id=65
Spanish brandy,http://www.cocktaildb.com/ingr_detail?id=66
grape-based aguardiente,http://www.cocktaildb.com/ingr_detail?id=67
Barack Palinka,http://www.cocktaildb.com/ingr_detail?id=68
cherry brandy,http://www.cocktaildb.com/ingr_detail?id=69
eau de vie,http://www.cocktaildb.com/ingr_detail?id=70
framboise eau de vie,http://www.cocktaildb.com/ingr_detail?id=71
grappa,http://www.cocktaildb.com/ingr_detail?id=72
himbeergeist,http://www.cocktaildb.com/ingr_detail?id=73
kirsch,http://www.cocktaildb.com/ingr_detail?id=74
marc,http://www.cocktaildb.com/ingr_detail?id=75
mirabelle,http://www.cocktaildb.com/ingr_detail?id=76
pear brandy,http://www.cocktaildb.com/ingr_detail?id=77
pisco,http://www.cocktaildb.com/ingr_detail?id=78
plum brandy,http://www.cocktaildb.com/ingr_detail?id=79
Poire Williams,http://www.cocktaildb.com/ingr_detail?id=80
pomice brandy,http://www.cocktaildb.com/ingr_detail?id=81
quetsch,http://www.cocktaildb.com/ingr_detail?id=82
slivovitz,http://www.cocktaildb.com/ingr_detail?id=83
zwetschenwasser,http://www.cocktaildb.com/ingr_detail?id=84
Acid phosphate,http://www.cocktaildb.com/ingr_detail?id=85
Hadacol,http://www.cocktaildb.com/ingr_detail?id=86
Jamaica Ginger,http://www.cocktaildb.com/ingr_detail?id=87
allspice,http://www.cocktaildb.com/ingr_detail?id=88
almond,http://www.cocktaildb.com/ingr_detail?id=89
anchovy,http://www.cocktaildb.com/ingr_detail?id=90
apple slice,http://www.cocktaildb.com/ingr_detail?id=91
slice of apricot,http://www.cocktaildb.com/ingr_detail?id=92
slice of banana,http://www.cocktaildb.com/ingr_detail?id=93
black cherry,http://www.cocktaildb.com/ingr_detail?id=94
brandied cherry,http://www.cocktaildb.com/ingr_detail?id=95
cherry,http://www.cocktaildb.com/ingr_detail?id=96
coconut piece,http://www.cocktaildb.com/ingr_detail?id=98
coffee bean,http://www.cocktaildb.com/ingr_detail?id=99
coffee grounds,http://www.cocktaildb.com/ingr_detail?id=100
cranberry,http://www.cocktaildb.com/ingr_detail?id=101
cucumber slice,http://www.cocktaildb.com/ingr_detail?id=102
curls,http://www.cocktaildb.com/ingr_detail?id=103
dilly bean,http://www.cocktaildb.com/ingr_detail?id=104
flower,http://www.cocktaildb.com/ingr_detail?id=105
fruit garnish,http://www.cocktaildb.com/ingr_detail?id=106
garnish,http://www.cocktaildb.com/ingr_detail?id=107
fresh grape,http://www.cocktaildb.com/ingr_detail?id=109
kumquat slice,http://www.cocktaildb.com/ingr_detail?id=110
lemon wheel,http://www.cocktaildb.com/ingr_detail?id=111
lime wheel,http://www.cocktaildb.com/ingr_detail?id=112
Chinese golden lime,http://www.cocktaildb.com/ingr_detail?id=113
mango slice,http://www.cocktaildb.com/ingr_detail?id=114
mint candy,http://www.cocktaildb.com/ingr_detail?id=115
nectarine slice,http://www.cocktaildb.com/ingr_detail?id=116
olive,http://www.cocktaildb.com/ingr_detail?id=117
